CUST_ID,PURCHASES,SUPPORT_PURCHASES,PURCHASES_FREQUENCY,SUPPORT_FREQUENCY,ACTIVITY,PRODUCT_TYPE,SEGMENT
C10001,95.4,95.4,0.166667,0.083333,0,0,5
C10002,0,0,0,0,1,0,3
C10003,773.17,0,1,0,0,0,3
C10004,1499,0,0.083333,0,1,1,1
C10005,16,0,0.083333,0,0,0,3
C10006,1333.28,1333.28,0.666667,0.583333,1,1,4
C10007,7091.01,688.38,1,1,1,1,3
C10008,436.2,436.2,1,1,1,0,5
C10009,861.49,200,0.333333,0.25,1,0,4
C10010,1281.6,0,0.166667,0,0,1,1
C10011,920.12,920.12,1,1,0,0,5
C10012,1492.18,0,0.25,0,0,1,1
C10013,3217.99,717.76,1,0.916667,0,1,2
C10014,2137.93,1717.97,0.75,0.75,0,1,2
C10015,0,0,0,0,1,0,4
C10016,1611.7,1611.7,0.5,0.5,0,1,1
C10017,0,0,0,0,0,0,3
C10018,519,519,0.416667,0.333333,0,0,4
C10019,504.35,338.35,0.666667,0.583333,0,0,2
C10020,398.64,398.64,1,1,1,0,4
C10021,176.68,176.68,0.666667,0.666667,0,0,3
C10022,6359.95,449.91,1,1,1,1,2
C10023,815.9,815.9,1,1,0,0,4
C10024,4248.35,793.79,1,0.916667,1,1,3
C10025,0,0,0,0,1,0,2
C10026,399.6,399.6,1,1,0,0,3
C10027,102,0,0.166667,0,1,0,1
C10028,233.28,233.28,1,1,1,0,3
C10029,387.05,182.5,0.666667,0.416667,0,0,4
C10030,100,100,0.416667,0.416667,0,0,2
C10031,3038.01,2024.81,1,1,1,1,2
C10032,1347.71,947.71,1,1,1,1,2
C10033,324.95,0,0.083333,0,0,0,3
C10034,636.79,0,0.916667,0,1,0,4
C10035,547.28,547.28,1,1,0,0,5
C10036,0,0,0,0,0,0,5
C10037,0,0,0,0,1,0,4
C10038,2380.55,738.38,0.75,0.75,1,1,2
C10039,204,0,0.083333,0,0,0,5
C10040,963.24,0,0.083333,0,0,0,3
C10041,0,0,0,0,0,0,4
C10043,1526.59,740.29,0.583333,0.333333,1,1,5
C10044,203.82,0,0.083333,0,0,0,2
C10045,0,0,0,0,1,0,1
C10046,1525.44,1055.64,1,1,0,1,3
C10047,437,340,0.333333,0.333333,0,0,4
C10048,109.74,109.74,0.375,0.25,0,0,3
C10049,0,0,0,0,1,0,3
C10050,2390.6,987.67,1,1,0,1,2
C10051,507.5,0,0.166667,0,1,0,4
C10052,901.42,255.35,0.625,0.25,1,0,1
C10053,3107.85,886.11,0.666667,0.5,1,1,3
C10054,0,0,0,0,1,0,5
C10055,1979.22,0,0.666667,0,1,1,5
C10056,310,310,0.666667,0.666667,0,0,4
C10057,1283.9,0,0.25,0,1,1,5
C10058,313.27,0,0.25,0,1,0,5
C10059,5217.62,428.53,0.916667,0.5,0,1,2
C10060,0,0,0,0,0,0,3
C10061,229,229,0.416667,0.333333,1,0,1
C10062,113,0,0.166667,0,0,0,5
C10063,66.2,0,0.083333,0,1,0,3
C10064,0,0,0,0,1,0,5
C10065,840,0,0.083333,0,0,0,5
C10067,1887.64,1887.64,1,1,0,1,2
C10068,412.33,87.12,0.583333,0.166667,0,0,5
C10069,0,0,0,0,0,0,1
C10070,0,0,0,0,1,0,4
C10071,263.5,72.9,0.666667,0.583333,1,0,4
C10072,1363.69,0,0.333333,0,0,1,4
C10073,419.1,419.1,0.916667,0.833333,0,0,5
C10074,4523.27,2859.18,0.666667,0.583333,0,1,4
C10075,0,0,0,0,1,0,2
C10077,713.9,210.82,0.5,0.4,0,0,4
C10078,791.94,275.3,0.272727,0.181818,1,0,4
C10079,561.87,312.37,0.833333,0.75,0,0,3
C10080,606.11,0,1,0,1,0,4
C10081,320,320,0.75,0.666667,1,0,4
C10082,0,0,0,0,0,0,1
C10083,388.66,0,0.583333,0,0,0,4
C10084,244.85,204.64,0.666667,0.583333,0,0,4
C10085,0,0,0,0,0,0,4
C10086,133.05,104.85,0.416667,0.25,1,0,3
C10087,396,396,0.5,0.416667,0,0,4
C10088,4915.6,400.26,1,0.333333,1,1,2
C10089,1247.8,0,1,0,0,1,4
C10090,1603.78,158.64,1,1,1,1,2
C10092,2258.01,939.23,1,1,0,1,3
C10093,45,0,0.083333,0,0,0,4
C10094,0,0,0,0,1,0,3
C10095,5100.07,3952.24,1,0.916667,1,1,4
C10096,1032.04,805.14,0.909091,0.818182,1,1,5
C10097,45.65,0,0.083333,0,0,0,3
C10098,405.6,0,0.166667,0,0,0,2
C10099,213.34,0,0.25,0,0,0,1
C10100,0,0,0,0,0,0,5
C10101,739.44,0,0.666667,0,1,0,4
C10102,0,0,0,0,0,0,3
C10103,79,79,0.25,0.166667,1,0,3
C10104,0,0,0,0,1,0,3
C10105,20,0,0.111111,0,0,0,3
C10106,1346.28,1346.28,1,1,1,1,2
C10107,2823.8,1283.39,0.916667,0.833333,0,1,1
C10108,389.96,389.96,1,1,1,0,5
C10109,0,0,0,0,1,0,4
C10110,808,0,0.25,0,0,0,4
C10111,941.64,941.64,1,1,1,0,5
C10112,0,0,0,0,0,0,5
C10113,423.7,246.06,0.666667,0.5,1,0,5
C10114,4478.75,1757.16,1,1,0,1,5
C10115,1354.86,769.23,0.916667,0.833333,0,1,3
C10116,0,0,0,0,0,0,2
C10117,2812.2,1955.08,1,1,1,1,5
C10118,0,0,0,0,0,0,4
C10119,1508.9,256.54,0.666667,0.333333,1,1,5
C10120,1045.57,377.62,1,1,1,1,5
C10121,2309.78,2309.78,0.583333,0.5,1,1,1
C10122,0,0,0,0,0,0,4
C10123,495,495,0.166667,0.166667,1,0,5
C10124,0,0,0,0,0,0,2
C10125,6724.26,2624.18,1,1,1,1,4
C10126,1174.39,0,0.25,0,1,1,1
C10127,5580.85,5580.85,1,1,0,1,2
C10128,0,0,0,0,0,0,5
C10130,0,0,0,0,1,0,4
C10131,12462.44,0,0.916667,0,1,1,1
C10132,0,0,0,0,0,0,3
C10133,1957.3,880,0.833333,0.583333,1,1,3
C10134,150.64,0,0.083333,0,0,0,2
C10135,0,0,0,0,1,0,2
C10136,907,0,0.25,0,0,0,2
C10137,1271.12,919.58,0.833333,0.833333,1,1,5
C10138,250.6,250.6,0.583333,0.5,1,0,3
C10139,796.33,0,0.083333,0,1,0,4
C10140,440,440,0.916667,0.916667,0,0,1
C10141,1330.62,160.99,0.5,0.25,0,1,2
C10142,5491.79,4101.29,1,1,1,1,5
C10143,897.86,183.34,0.916667,0.916667,1,0,2
C10144,22009.92,12560.85,1,1,0,1,2
C10145,720.6,0,1,0,1,0,1
C10146,197.06,48.4,0.333333,0.166667,0,0,2
C10147,0,0,0,0,1,0,5
C10148,0,0,0,0,1,0,1
C10149,2084.48,784,0.666667,0.583333,1,1,3
C10150,5779.36,2342.83,1,1,0,1,2
